"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 22 21:30:49 GMT 2025","Wed Oct 22 21:30:49 GMT 2025","31","","com.distributed_messenger.integration.services.UserServiceIntegrationTest","","com.distributed_messenger.integration.services.UserServiceIntegrationTest","getUser should return user for existing id","getUser should return user for existing id",""
"passed","Wed Oct 22 21:30:13 GMT 2025","Wed Oct 22 21:30:23 GMT 2025","9917","","com.distributed_messenger.unit.repositories.ChatRepositoryUnitTest","","com.distributed_messenger.unit.repositories.ChatRepositoryUnitTest","getChatsByUser should return all chats for a specific user","getChatsByUser should return all chats for a specific user",""
"passed","Wed Oct 22 21:30:45 GMT 2025","Wed Oct 22 21:30:45 GMT 2025","25","","com.distributed_messenger.unit.services.BlockServiceUnitTest","","com.distributed_messenger.unit.services.BlockServiceUnitTest","blockUser should throw exception when repository fails","blockUser should throw exception when repository fails",""
"passed","Wed Oct 22 21:30:24 GMT 2025","Wed Oct 22 21:30:24 GMT 2025","68","","com.distributed_messenger.unit.repositories.UserRepositoryUnitTest","","com.distributed_messenger.unit.repositories.UserRepositoryUnitTest","getAllUsers should return all added users","getAllUsers should return all added users",""
"passed","Wed Oct 22 21:30:44 GMT 2025","Wed Oct 22 21:30:44 GMT 2025","61","","com.distributed_messenger.unit.services.ChatServiceUnitTest","","com.distributed_messenger.unit.services.ChatServiceUnitTest","updateChat should return false when chat not found","updateChat should return false when chat not found",""
"passed","Wed Oct 22 21:30:44 GMT 2025","Wed Oct 22 21:30:44 GMT 2025","16","","com.distributed_messenger.unit.services.AppSettingsServiceUnitTest","","com.distributed_messenger.unit.services.AppSettingsServiceUnitTest","updateSetting should return true on successful update","updateSetting should return true on successful update",""
"passed","Wed Oct 22 21:30:24 GMT 2025","Wed Oct 22 21:30:24 GMT 2025","176","","com.distributed_messenger.integration.repositories.UserRepositoryIntegrationTest","","com.distributed_messenger.integration.repositories.UserRepositoryIntegrationTest","findByUsername should return correct user when exists","findByUsername should return correct user when exists",""
"passed","Wed Oct 22 21:30:44 GMT 2025","Wed Oct 22 21:30:44 GMT 2025","113","","com.distributed_messenger.unit.services.ChatServiceUnitTest","","com.distributed_messenger.unit.services.ChatServiceUnitTest","updateChat should return true when successful","updateChat should return true when successful",""
"passed","Wed Oct 22 21:30:23 GMT 2025","Wed Oct 22 21:30:24 GMT 2025","153","","com.distributed_messenger.unit.repositories.AppSettingsRepositoryUnitTest","","com.distributed_messenger.unit.repositories.AppSettingsRepositoryUnitTest","updateSetting with valid value should succeed","updateSetting with valid value should succeed",""
"passed","Wed Oct 22 21:33:01 GMT 2025","Wed Oct 22 21:33:07 GMT 2025","6143","","com.distributed_messenger.e2e.bdd.AuthenticationBehaviorSpec","","com.distributed_messenger.e2e.bdd.AuthenticationBehaviorSpec","And: аккаунт пользователя 'locker' в базе данных должен быть заблокирован","And: аккаунт пользователя 'locker' в базе данных должен быть заблокирован",""
"passed","Wed Oct 22 21:30:48 GMT 2025","Wed Oct 22 21:30:48 GMT 2025","52","","com.distributed_messenger.integration.services.UserServiceIntegrationTest","","com.distributed_messenger.integration.services.UserServiceIntegrationTest","deleteUser should return false for non-existent user","deleteUser should return false for non-existent user",""
"passed","Wed Oct 22 21:30:25 GMT 2025","Wed Oct 22 21:30:25 GMT 2025","49","","com.distributed_messenger.unit.repositories.UserRepositoryUnitTest","","com.distributed_messenger.unit.repositories.UserRepositoryUnitTest","deleteUser for non-existent user should return false","deleteUser for non-existent user should return false",""
"passed","Wed Oct 22 21:30:50 GMT 2025","Wed Oct 22 21:30:50 GMT 2025","14","","com.distributed_messenger.unit.services.UserServiceUnitTest","","com.distributed_messenger.unit.services.UserServiceUnitTest","getUser should return null when user does not exist","getUser should return null when user does not exist",""
"passed","Wed Oct 22 21:30:49 GMT 2025","Wed Oct 22 21:30:52 GMT 2025","2744","","com.distributed_messenger.unit.services.FileServiceUnitTest","","com.distributed_messenger.unit.services.FileServiceUnitTest","deleteFile should return false on failed deletion","deleteFile should return false on failed deletion",""
"passed","Wed Oct 22 21:30:13 GMT 2025","Wed Oct 22 21:30:23 GMT 2025","10136","","com.distributed_messenger.unit.repositories.BlockRepositoryUnitTest","","com.distributed_messenger.unit.repositories.BlockRepositoryUnitTest","addBlock should save a block record","addBlock should save a block record",""
"passed","Wed Oct 22 21:30:46 GMT 2025","Wed Oct 22 21:30:46 GMT 2025","28","","com.distributed_messenger.unit.services.MessageServiceUnitTest","","com.distributed_messenger.unit.services.MessageServiceUnitTest","deleteMessage should return true when deletion is successful","deleteMessage should return true when deletion is successful",""
"passed","Wed Oct 22 21:30:44 GMT 2025","Wed Oct 22 21:30:44 GMT 2025","18","","com.distributed_messenger.unit.services.AppSettingsServiceUnitTest","","com.distributed_messenger.unit.services.AppSettingsServiceUnitTest","updateSetting should propagate exception from repository","updateSetting should propagate exception from repository",""
"passed","Wed Oct 22 21:30:49 GMT 2025","Wed Oct 22 21:30:50 GMT 2025","709","","com.distributed_messenger.unit.services.UserServiceUnitTest","","com.distributed_messenger.unit.services.UserServiceUnitTest","register should propagate exception from repository","register should propagate exception from repository",""
"passed","Wed Oct 22 21:30:48 GMT 2025","Wed Oct 22 21:30:48 GMT 2025","50","","com.distributed_messenger.integration.services.UserServiceIntegrationTest","","com.distributed_messenger.integration.services.UserServiceIntegrationTest","findByUserName should return null for non-existent user","findByUserName should return null for non-existent user",""
"passed","Wed Oct 22 21:30:24 GMT 2025","Wed Oct 22 21:30:24 GMT 2025","112","","com.distributed_messenger.integration.repositories.UserRepositoryIntegrationTest","","com.distributed_messenger.integration.repositories.UserRepositoryIntegrationTest","addUser should correctly save a user and allow retrieval","addUser should correctly save a user and allow retrieval",""
"passed","Wed Oct 22 21:30:24 GMT 2025","Wed Oct 22 21:30:24 GMT 2025","219","","com.distributed_messenger.unit.repositories.ChatRepositoryUnitTest","","com.distributed_messenger.unit.repositories.ChatRepositoryUnitTest","addChat should correctly save a chat","addChat should correctly save a chat",""
"passed","Wed Oct 22 21:30:46 GMT 2025","Wed Oct 22 21:30:46 GMT 2025","35","","com.distributed_messenger.unit.services.MessageServiceUnitTest","","com.distributed_messenger.unit.services.MessageServiceUnitTest","getMessageHistory should return list of history records","getMessageHistory should return list of history records",""
"passed","Wed Oct 22 21:30:46 GMT 2025","Wed Oct 22 21:30:46 GMT 2025","52","","com.distributed_messenger.unit.services.MessageServiceUnitTest","","com.distributed_messenger.unit.services.MessageServiceUnitTest","getMessage should return message when it exists","getMessage should return message when it exists",""
"passed","Wed Oct 22 21:30:48 GMT 2025","Wed Oct 22 21:30:48 GMT 2025","376","","com.distributed_messenger.integration.services.UserServiceIntegrationTest","","com.distributed_messenger.integration.services.UserServiceIntegrationTest","register should create a user in the database","register should create a user in the database",""
