"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 18 18:38:16 GMT 2025","Sat Oct 18 18:38:16 GMT 2025","124","","com.distributed_messenger.unit.repositories.BlockRepositoryUnitTest","","com.distributed_messenger.unit.repositories.BlockRepositoryUnitTest","deleteBlocksByUserId should remove the specific block","deleteBlocksByUserId should remove the specific block",""
"passed","Sat Oct 18 18:38:41 GMT 2025","Sat Oct 18 18:38:41 GMT 2025","13","","com.distributed_messenger.unit.services.FileServiceUnitTest","","com.distributed_messenger.unit.services.FileServiceUnitTest","getFile should return file when file exists","getFile should return file when file exists",""
"passed","Sat Oct 18 18:38:36 GMT 2025","Sat Oct 18 18:38:37 GMT 2025","117","","com.distributed_messenger.integration.services.UserServiceIntegrationTest","","com.distributed_messenger.integration.services.UserServiceIntegrationTest","login should return user id for existing username","login should return user id for existing username",""
"passed","Sat Oct 18 18:38:16 GMT 2025","Sat Oct 18 18:38:17 GMT 2025","95","","com.distributed_messenger.unit.repositories.AppSettingsRepositoryUnitTest","","com.distributed_messenger.unit.repositories.AppSettingsRepositoryUnitTest","initializeDefaultSettings should populate db only if it is empty","initializeDefaultSettings should populate db only if it is empty",""
"passed","Sat Oct 18 18:38:35 GMT 2025","Sat Oct 18 18:38:35 GMT 2025","61","","com.distributed_messenger.unit.services.BlockServiceUnitTest","","com.distributed_messenger.unit.services.BlockServiceUnitTest","blockUser without reason should work","blockUser without reason should work",""
"passed","Sat Oct 18 18:38:36 GMT 2025","Sat Oct 18 18:38:36 GMT 2025","23","","com.distributed_messenger.unit.services.MessageServiceUnitTest","","com.distributed_messenger.unit.services.MessageServiceUnitTest","getChatMessages should return empty list when no messages in chat","getChatMessages should return empty list when no messages in chat",""
"passed","Sat Oct 18 18:38:10 GMT 2025","Sat Oct 18 18:38:16 GMT 2025","6094","","com.distributed_messenger.unit.repositories.BlockRepositoryUnitTest","","com.distributed_messenger.unit.repositories.BlockRepositoryUnitTest","addBlock should save a block record","addBlock should save a block record",""
"passed","Sat Oct 18 18:38:17 GMT 2025","Sat Oct 18 18:38:17 GMT 2025","48","","com.distributed_messenger.unit.repositories.UserRepositoryUnitTest","","com.distributed_messenger.unit.repositories.UserRepositoryUnitTest","getUser with non-existent id should return null","getUser with non-existent id should return null",""
"passed","Sat Oct 18 18:38:23 GMT 2025","Sat Oct 18 18:38:35 GMT 2025","11922","","com.distributed_messenger.unit.services.BlockServiceUnitTest","","com.distributed_messenger.unit.services.BlockServiceUnitTest","blockUser should return block id on success","blockUser should return block id on success",""
"passed","Sat Oct 18 18:38:36 GMT 2025","Sat Oct 18 18:38:36 GMT 2025","36","","com.distributed_messenger.unit.services.MessageServiceUnitTest","","com.distributed_messenger.unit.services.MessageServiceUnitTest","getMessageHistory should return list of history records","getMessageHistory should return list of history records",""
"passed","Sat Oct 18 18:38:36 GMT 2025","Sat Oct 18 18:38:36 GMT 2025","63","","com.distributed_messenger.unit.services.MessageServiceUnitTest","","com.distributed_messenger.unit.services.MessageServiceUnitTest","editMessage should update message, add history record and return true on success","editMessage should update message, add history record and return true on success",""
"passed","Sat Oct 18 18:38:41 GMT 2025","Sat Oct 18 18:38:41 GMT 2025","125","","com.distributed_messenger.unit.services.FileServiceUnitTest","","com.distributed_messenger.unit.services.FileServiceUnitTest","uploadFile should propagate exception when repository throws","uploadFile should propagate exception when repository throws",""
"passed","Sat Oct 18 18:38:23 GMT 2025","Sat Oct 18 18:38:35 GMT 2025","12088","","com.distributed_messenger.unit.services.ChatServiceUnitTest","","com.distributed_messenger.unit.services.ChatServiceUnitTest","leaveChatNetwork should delegate call to p2pTransport","leaveChatNetwork should delegate call to p2pTransport",""
"passed","Sat Oct 18 18:38:23 GMT 2025","Sat Oct 18 18:38:33 GMT 2025","9659","","com.distributed_messenger.unit.services.AppSettingsServiceUnitTest","","com.distributed_messenger.unit.services.AppSettingsServiceUnitTest","updateSetting should return false on failed update","updateSetting should return false on failed update",""
"passed","Sat Oct 18 18:38:41 GMT 2025","Sat Oct 18 18:38:41 GMT 2025","14","","com.distributed_messenger.unit.services.FileServiceUnitTest","","com.distributed_messenger.unit.services.FileServiceUnitTest","getUserFiles should return an empty list when user has no files","getUserFiles should return an empty list when user has no files",""
"passed","Sat Oct 18 18:38:36 GMT 2025","Sat Oct 18 18:38:36 GMT 2025","311","","com.distributed_messenger.unit.services.ChatServiceUnitTest","","com.distributed_messenger.unit.services.ChatServiceUnitTest","createChat should call repository and return new chat id","createChat should call repository and return new chat id",""
"passed","Sat Oct 18 18:38:36 GMT 2025","Sat Oct 18 18:38:36 GMT 2025","16","","com.distributed_messenger.unit.services.MessageServiceUnitTest","","com.distributed_messenger.unit.services.MessageServiceUnitTest","deleteMessage should return false when deletion fails","deleteMessage should return false when deletion fails",""
