"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 31 01:15:57 GMT 2025","Fri Oct 31 01:15:57 GMT 2025","227","","com.distributedMessenger.unit.services.AppSettingsServiceUnitTest","","com.distributedMessenger.unit.services.AppSettingsServiceUnitTest","getSetting should return value when setting exists","getSetting should return value when setting exists",""
"passed","Fri Oct 31 01:15:30 GMT 2025","Fri Oct 31 01:15:30 GMT 2025","51","","com.distributedMessenger.integration.repositories.UserRepositoryIntegrationTest","","com.distributedMessenger.integration.repositories.UserRepositoryIntegrationTest","updateUser for non-existent user should return false","updateUser for non-existent user should return false",""
"passed","Fri Oct 31 01:15:30 GMT 2025","Fri Oct 31 01:15:30 GMT 2025","107","","com.distributedMessenger.unit.repositories.AppSettingsRepositoryUnitTest","","com.distributedMessenger.unit.repositories.AppSettingsRepositoryUnitTest","initializeDefaultSettings should populate db only if it is empty","initializeDefaultSettings should populate db only if it is empty",""
"passed","Fri Oct 31 01:16:02 GMT 2025","Fri Oct 31 01:16:02 GMT 2025","16","","com.distributedMessenger.unit.services.BlockServiceUnitTest","","com.distributedMessenger.unit.services.BlockServiceUnitTest","unblockUser should return false when repository fails","unblockUser should return false when repository fails",""
"passed","Fri Oct 31 01:15:31 GMT 2025","Fri Oct 31 01:15:31 GMT 2025","45","","com.distributedMessenger.unit.repositories.FileRepositoryUnitTest","","com.distributedMessenger.unit.repositories.FileRepositoryUnitTest","getFile with a non-existent id should return null","getFile with a non-existent id should return null",""
"passed","Fri Oct 31 01:15:31 GMT 2025","Fri Oct 31 01:15:31 GMT 2025","76","","com.distributedMessenger.unit.repositories.UserRepositoryUnitTest","","com.distributedMessenger.unit.repositories.UserRepositoryUnitTest","getAllUsers should return all added users","getAllUsers should return all added users",""
"passed","Fri Oct 31 01:15:59 GMT 2025","Fri Oct 31 01:15:59 GMT 2025","142","","com.distributedMessenger.unit.services.BlockServiceUnitTest","","com.distributedMessenger.unit.services.BlockServiceUnitTest","unblockUser should return true when successful","unblockUser should return true when successful",""
"passed","Fri Oct 31 01:16:03 GMT 2025","Fri Oct 31 01:16:03 GMT 2025","22","","com.distributedMessenger.unit.services.MessageServiceUnitTest","","com.distributedMessenger.unit.services.MessageServiceUnitTest","deleteMessage should return true when deletion is successful","deleteMessage should return true when deletion is successful",""
"passed","Fri Oct 31 01:15:30 GMT 2025","Fri Oct 31 01:15:30 GMT 2025","87","","com.distributedMessenger.unit.repositories.BlockRepositoryUnitTest","","com.distributedMessenger.unit.repositories.BlockRepositoryUnitTest","deleteBlocksByUserId should remove the specific block","deleteBlocksByUserId should remove the specific block",""
"passed","Fri Oct 31 01:16:08 GMT 2025","Fri Oct 31 01:16:08 GMT 2025","81","","com.distributedMessenger.unit.services.FileServiceUnitTest","","com.distributedMessenger.unit.services.FileServiceUnitTest","getFile should return null when file does not exist","getFile should return null when file does not exist",""
"passed","Fri Oct 31 01:15:57 GMT 2025","Fri Oct 31 01:15:57 GMT 2025","137","","com.distributedMessenger.unit.services.AppSettingsServiceUnitTest","","com.distributedMessenger.unit.services.AppSettingsServiceUnitTest","updateSetting should return true on successful update","updateSetting should return true on successful update",""
"passed","Fri Oct 31 01:16:06 GMT 2025","Fri Oct 31 01:16:06 GMT 2025","34","","com.distributedMessenger.unit.services.UserServiceUnitTest","","com.distributedMessenger.unit.services.UserServiceUnitTest","updateUser should return false when user not found","updateUser should return false when user not found",""
"passed","Fri Oct 31 01:15:31 GMT 2025","Fri Oct 31 01:15:31 GMT 2025","40","","com.distributedMessenger.unit.repositories.UserRepositoryUnitTest","","com.distributedMessenger.unit.repositories.UserRepositoryUnitTest","findByUsername should return null for non-existent username","findByUsername should return null for non-existent username",""
"passed","Fri Oct 31 01:16:06 GMT 2025","Fri Oct 31 01:16:06 GMT 2025","622","","com.distributedMessenger.unit.services.UserServiceUnitTest","","com.distributedMessenger.unit.services.UserServiceUnitTest","register should propagate exception from repository","register should propagate exception from repository",""
"passed","Fri Oct 31 01:16:02 GMT 2025","Fri Oct 31 01:16:03 GMT 2025","361","","com.distributedMessenger.unit.services.MessageServiceUnitTest","","com.distributedMessenger.unit.services.MessageServiceUnitTest","editMessage should return false when message to edit is not found","editMessage should return false when message to edit is not found",""
"passed","Fri Oct 31 01:15:30 GMT 2025","Fri Oct 31 01:15:30 GMT 2025","126","","com.distributedMessenger.unit.repositories.MessageRepositoryUnitTest","","com.distributedMessenger.unit.repositories.MessageRepositoryUnitTest","addMessage should save a message and allow retrieval","addMessage should save a message and allow retrieval",""
"passed","Fri Oct 31 01:15:30 GMT 2025","Fri Oct 31 01:15:30 GMT 2025","179","","com.distributedMessenger.unit.repositories.MessageHistoryRepositoryUnitTest","","com.distributedMessenger.unit.repositories.MessageHistoryRepositoryUnitTest","addMessageHistory should save a history entry","addMessageHistory should save a history entry",""
"passed","Fri Oct 31 01:16:06 GMT 2025","Fri Oct 31 01:16:06 GMT 2025","8","","com.distributedMessenger.unit.services.UserServiceUnitTest","","com.distributedMessenger.unit.services.UserServiceUnitTest","getAllUsers should return a list of users","getAllUsers should return a list of users",""
"passed","Fri Oct 31 01:16:08 GMT 2025","Fri Oct 31 01:16:08 GMT 2025","21","","com.distributedMessenger.unit.services.FileServiceUnitTest","","com.distributedMessenger.unit.services.FileServiceUnitTest","deleteFile should return true on successful deletion","deleteFile should return true on successful deletion",""
"passed","Fri Oct 31 01:16:05 GMT 2025","Fri Oct 31 01:16:05 GMT 2025","47","","com.distributedMessenger.integration.services.UserServiceIntegrationTest","","com.distributedMessenger.integration.services.UserServiceIntegrationTest","findByUserName should return null for non-existent user","findByUserName should return null for non-existent user",""
"passed","Fri Oct 31 01:15:46 GMT 2025","Fri Oct 31 01:16:04 GMT 2025","17220","","com.distributedMessenger.integration.services.UserServiceIntegrationTest","","com.distributedMessenger.integration.services.UserServiceIntegrationTest","findByUserName should return user for existing username","findByUserName should return user for existing username",""
"passed","Fri Oct 31 01:16:03 GMT 2025","Fri Oct 31 01:16:03 GMT 2025","20","","com.distributedMessenger.unit.services.MessageServiceUnitTest","","com.distributedMessenger.unit.services.MessageServiceUnitTest","getMessage should return null when it does not exist","getMessage should return null when it does not exist",""
